x,y,class
-8.224872175300195,-6.950463861190678,1
15.393158569538388,-2.439765412959329,1
8.649150242704724,-10.888149323557714,1
1.8533376235806078,-12.610970155121723,1
-6.493960824349395,5.0501112328298285,1
-6.353671085940161,5.019783701210756,1
0.21649509412614795,6.266972728133172,1
13.635105141416831,-6.142420231236266,1
2.158792978465565,-12.583628349617653,1
7.409070001720638,-11.447385086100324,1
2.89656759616257,3.860975039862846,1
15.582501714963493,-1.4611789284037489,1
12.437388840728087,-7.520609436346371,1
-8.538899554227743,2.0959952896333935,1
-7.766883210743136,3.8285738199904205,1
-7.731798632279692,3.6738978043016206,1
-9.548035796941061,-3.2048893171519404,1
-1.9563151788270448,-11.958785258240944,1
-6.320597394959047,-9.498716123708652,1
-9.554382046540754,-2.442385443815167,1
2.500492342699029,-12.842386053391092,1
-5.50155834625989,5.667155909465578,1
-9.601777499618883,-2.436339944863867,1
-8.42940767189323,-6.385883639161799,1
-5.186391934495551,-10.402340125840576,1
10.661715255511425,-9.345072397133112,1
-8.426471280896958,2.8953156577038524,1
-2.3664927335710924,-11.736495934183234,1
1.6140319050592082,-12.725381973718925,1
1.1824884428787132,5.74112564128861,1
2.5353709886390132,-12.654817239978005,1
-7.103786069872792,4.351595451758153,1
-0.08350215563899206,6.298831634807294,1
15.1862237356922,-2.47211375835066,1
15.604426390438245,-1.5763978099652411,1
11.810157250777335,-8.655601738624942,1
-9.570657169535748,-3.2160146799215927,1
-2.609036220109629,6.460370694280116,1
6.374791334802418,-11.855964645906848,1
-5.802799047967739,-9.97470269666397,1
-4.4980949936357915,6.055553000682705,1
-3.3696861169159273,-11.442868715913471,1
2.2650665443128526,5.184438750002296,1
14.3101045534823,-4.355372984286492,1
-9.638229369433477,-0.576685239473886,1
5.025261317216145,-12.11691772495393,1
-9.510328768817077,-3.7836003330580548,1
-2.127795180136293,-12.223952583814965,1
-0.6773315950940297,-12.361575385289118,1
-7.722643876983804,3.590423991026137,1
15.606371006267334,-1.5938002374290678,1
10.242555392812703,-9.626195638600871,1
14.866974563693578,-2.914946520614058,1
